sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,type_of_assessment,start,end,event
Female,21,African-American,0,c8,0,0,2,1.0,F,Risk of Recidivism,79,524,0
Male,51,African-American,0,c1,0,0,2,1.0,M,Risk of Recidivism,0,1128,0
Female,51,African-American,0,c2,0,0,7,1.0,F,Risk of Recidivism,1,529,0
Male,25,Caucasian,0,c10,0,0,9,1.0,M,Risk of Recidivism,6,8,1
Male,35,African-American,1,c8,0,4,13,1.0,F,Risk of Recidivism,0,9,1
Male,49,Caucasian,0,c1,0,0,0,0.0,M,Risk of Recidivism,0,973,0
Male,29,African-American,0,c4,0,0,0,1.0,F,Risk of Recidivism,0,1073,0
Female,28,Other,0,c2,0,0,0,1.0,F,Risk of Recidivism,0,865,0
Female,63,Hispanic,0,c1,0,0,1,219.0,F,Risk of Recidivism,0,800,0
Male,31,African-American,0,c5,0,1,15,1.0,F,Risk of Recidivism,135,1077,1
Male,30,Hispanic,0,c7,0,0,0,0.0,M,Risk of Recidivism,23,1167,0
Male,49,African-American,0,c1,0,0,4,1.0,M,Risk of Recidivism,0,948,0
Male,53,Caucasian,0,c5,0,0,8,13.0,F,Risk of Recidivism,0,1039,0
Male,35,African-American,0,c3,0,0,5,1.0,F,Risk of Recidivism,0,1145,0
Male,62,Hispanic,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,1179,0
Male,33,Other,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,754,0
Female,56,African-American,0,c1,0,0,0,1.0,M,Risk of Recidivism,3,916,0
Male,45,Hispanic,0,c1,0,0,6,1.0,F,Risk of Recidivism,241,323,1
Male,22,Hispanic,0,c4,0,0,1,1.0,F,Risk of Recidivism,0,1042,0
Male,39,African-American,0,c4,0,0,1,1.0,M,Risk of Recidivism,4,1121,0
Male,40,African-American,0,c2,0,0,2,15.0,F,Risk of Recidivism,0,989,0
Male,22,Caucasian,0,c8,0,0,0,1.0,F,Risk of Recidivism,57,73,0
Female,26,African-American,0,c4,0,0,1,1.0,F,Risk of Recidivism,1,11,1
Male,27,Caucasian,0,c7,0,0,1,44.0,F,Risk of Recidivism,0,258,1
Male,32,African-American,0,c2,0,0,0,1.0,F,Risk of Recidivism,0,1124,0
Male,41,African-American,0,c2,0,0,1,5185.0,M,Risk of Recidivism,1,1128,0
Male,30,African-American,0,c10,0,0,8,1.0,M,Risk of Recidivism,0,55,1
Male,25,African-American,1,c10,6,1,14,1.0,F,Risk of Recidivism,6,100,1
Male,20,Other,0,c5,0,0,0,1.0,F,Risk of Recidivism,0,119,1
Female,35,African-American,0,c2,0,0,1,1.0,M,Risk of Recidivism,0,1098,0
Male,25,Caucasian,0,c8,0,0,9,1.0,F,Risk of Recidivism,0,145,1
Male,71,African-American,0,c7,0,0,12,804.0,M,Risk of Recidivism,0,1183,0
Female,20,Caucasian,0,c7,0,0,0,1.0,F,Risk of Recidivism,0,869,0
Male,66,Caucasian,0,c1,0,0,3,64.0,F,Risk of Recidivism,0,877,0
Female,54,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,1082,0
Female,44,Hispanic,0,c1,0,0,0,2.0,M,Risk of Recidivism,0,955,0
Male,19,African-American,0,c4,0,0,1,10.0,M,Risk of Recidivism,0,104,1
Male,24,African-American,0,c2,0,0,1,137.0,F,Risk of Recidivism,0,503,0
Male,30,African-American,0,c2,0,0,1,1.0,F,Risk of Recidivism,0,935,0
Female,39,Caucasian,0,c1,0,0,0,1.0,F,Risk of Recidivism,1,52,1
Male,30,Caucasian,0,c4,0,0,0,1.0,F,Risk of Recidivism,5,497,0
Male,31,Caucasian,0,c5,0,0,0,1.0,M,Risk of Recidivism,38,770,0
Female,39,Caucasian,0,c4,0,0,1,1.0,F,Risk of Recidivism,106,392,0
Male,59,African-American,0,c9,0,0,14,265.0,F,Risk of Recidivism,0,178,1
Male,43,Caucasian,0,c1,0,0,1,30.0,F,Risk of Recidivism,0,960,0
Male,34,Caucasian,0,c5,0,0,0,0.0,F,Risk of Recidivism,15,441,0
Male,37,African-American,0,c2,0,0,3,0.0,F,Risk of Recidivism,1,102,0
Male,31,African-American,0,c7,0,0,1,1.0,M,Risk of Recidivism,0,900,0
Female,30,Other,0,c2,0,0,1,1.0,F,Risk of Recidivism,0,97,0
Male,31,Caucasian,0,c10,0,0,13,0.0,F,Risk of Recidivism,0,55,1
Male,56,African-American,0,c9,0,0,8,79.0,F,Risk of Recidivism,0,67,0
Male,52,Caucasian,0,c9,0,0,3,2.0,M,Risk of Recidivism,0,977,0
Female,64,Caucasian,0,c1,0,0,2,48.0,M,Risk of Recidivism,0,732,0
Male,42,Caucasian,0,c3,0,0,6,5.0,F,Risk of Recidivism,0,408,0
Female,25,Caucasian,0,c4,0,0,2,1.0,F,Risk of Recidivism,2,359,0
Male,30,Caucasian,0,c2,0,0,1,20.0,M,Risk of Recidivism,0,864,0
Male,28,Caucasian,0,c1,0,0,2,161.0,F,Risk of Recidivism,0,946,0
Female,37,Other,0,c2,0,0,2,222.0,M,Risk of Recidivism,1,823,0
Female,24,African-American,0,c2,0,0,0,1.0,M,Risk of Recidivism,1,784,0
Female,30,Hispanic,0,c5,0,0,4,36.0,F,Risk of Recidivism,0,37,1
Male,31,African-American,0,c2,0,0,1,1.0,M,Risk of Recidivism,0,1140,1
Female,45,Caucasian,0,c4,0,0,4,375.0,F,Risk of Recidivism,0,1073,0
Female,20,African-American,1,c10,0,0,1,0.0,F,Risk of Recidivism,3,119,0
Female,43,Caucasian,0,c1,0,0,0,0.0,M,Risk of Recidivism,1,1053,0
Male,32,African-American,0,c6,0,0,11,2.0,F,Risk of Recidivism,0,24,1
Male,33,African-American,0,c5,0,0,8,1.0,M,Risk of Recidivism,0,187,1
Female,20,African-American,0,c6,0,0,0,1.0,F,Risk of Recidivism,0,846,0
Female,26,Caucasian,0,c6,0,0,0,2.0,M,Risk of Recidivism,0,795,0
Male,63,Hispanic,0,c1,0,0,1,26.0,F,Risk of Recidivism,0,786,0
Female,32,African-American,0,c10,0,0,4,7.0,F,Risk of Recidivism,0,395,1
Male,29,Hispanic,0,c4,0,0,1,1.0,F,Risk of Recidivism,0,938,0
Female,46,Other,0,c2,0,0,1,72.0,F,Risk of Recidivism,0,1177,0
Male,55,African-American,0,c1,0,0,3,52.0,M,Risk of Recidivism,0,1009,0
Male,39,Caucasian,1,c4,0,0,1,1672.0,M,Risk of Recidivism,3,780,0
Male,30,African-American,0,c7,0,0,1,1.0,F,Risk of Recidivism,70,367,0
Male,48,Caucasian,0,c2,0,0,2,1.0,M,Risk of Recidivism,0,918,0
Male,22,African-American,0,c2,0,0,1,1.0,F,Risk of Recidivism,0,547,0
Female,49,Caucasian,0,c6,0,0,6,56.0,F,Risk of Recidivism,0,744,0
Male,31,Caucasian,0,c5,0,0,0,1.0,F,Risk of Recidivism,2,719,0
Male,23,Hispanic,0,c3,0,0,0,2.0,F,Risk of Recidivism,0,935,0
Female,32,African-American,0,c7,0,0,5,1.0,F,Risk of Recidivism,0,1138,0
Male,52,Hispanic,0,c1,0,0,2,1.0,M,Risk of Recidivism,2,108,0
Male,62,African-American,0,c4,0,0,8,1.0,F,Risk of Recidivism,16,1151,0
Female,37,Caucasian,0,c10,0,0,6,111.0,F,Risk of Recidivism,0,417,0
Male,55,Caucasian,0,c1,0,0,1,45.0,F,Risk of Recidivism,0,934,0
Male,28,African-American,0,c6,0,0,6,1.0,M,Risk of Recidivism,0,482,1
Male,54,Hispanic,0,c1,0,0,2,1.0,F,Risk of Recidivism,187,946,0
Male,58,Hispanic,0,c2,0,0,0,1.0,F,Risk of Recidivism,0,302,0
Male,56,Caucasian,0,c1,0,0,0,1.0,F,Risk of Recidivism,0,760,0
Male,24,Other,0,c2,0,0,0,1.0,F,Risk of Recidivism,1,808,0
Male,57,Hispanic,0,c1,0,0,1,0.0,F,Risk of Recidivism,20,889,0
Male,66,African-American,0,c1,0,0,3,10.0,F,Risk of Recidivism,0,943,1
Male,37,African-American,0,c9,0,0,2,0.0,M,Risk of Recidivism,0,104,1
Male,45,Caucasian,0,c3,0,0,2,1.0,F,Risk of Recidivism,358,1155,0
Male,23,African-American,0,c3,0,0,0,1.0,F,Risk of Recidivism,0,320,1
Male,34,African-American,0,c2,0,0,2,1.0,M,Risk of Recidivism,26,758,1
Female,23,African-American,0,c4,0,0,1,1.0,M,Risk of Recidivism,0,954,0
Male,50,Caucasian,0,c1,0,0,1,4.0,F,Risk of Recidivism,0,879,0
Female,37,Caucasian,0,c3,0,0,0,1.0,M,Risk of Recidivism,0,875,0
Male,44,Caucasian,0,c4,0,0,4,0.0,M,Risk of Recidivism,1,1181,0
Male,27,African-American,0,c2,0,0,0,1.0,M,Risk of Recidivism,2,1102,0
Female,28,African-American,0,c8,0,0,0,1.0,F,Risk of Recidivism,29,885,0
Male,43,Caucasian,0,c5,0,0,11,56.0,F,Risk of Recidivism,0,48,1
Male,38,African-American,0,c1,0,0,2,1.0,F,Risk of Recidivism,0,61,0
Male,27,Caucasian,0,c4,0,0,2,36.0,M,Risk of Recidivism,0,765,0
Female,28,African-American,0,c9,0,0,1,1.0,F,Risk of Recidivism,38,889,0
Male,38,African-American,0,c9,0,0,15,1.0,F,Risk of Recidivism,1,1137,0
Male,28,African-American,0,c5,0,0,2,2147.0,M,Risk of Recidivism,0,883,0
Male,45,African-American,0,c6,0,0,3,23.0,F,Risk of Recidivism,0,104,0
Male,28,Hispanic,0,c2,0,0,0,5.0,M,Risk of Recidivism,0,1183,0
Male,61,Caucasian,0,c1,0,0,1,34.0,F,Risk of Recidivism,0,1108,0
Female,51,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,169,1
Male,51,Caucasian,0,c2,0,0,0,1.0,M,Risk of Recidivism,0,883,0
Male,48,African-American,0,c1,0,0,0,1.0,F,Risk of Recidivism,0,1174,0
Female,30,African-American,0,c7,0,0,2,1.0,F,Risk of Recidivism,2,1054,0
Female,41,African-American,0,c6,0,0,5,1.0,M,Risk of Recidivism,0,878,0
Male,37,African-American,0,c1,0,0,0,1.0,M,Risk of Recidivism,1,870,1
Male,54,African-American,0,c9,0,0,11,1.0,F,Risk of Recidivism,129,1060,0
Male,23,African-American,0,c9,0,0,2,1.0,F,Risk of Recidivism,71,1058,0
Male,41,African-American,0,c1,0,0,0,0.0,M,Risk of Recidivism,1,797,0
Male,52,Caucasian,0,c1,0,0,0,1.0,F,Risk of Recidivism,0,1051,0
Male,52,African-American,0,c4,0,0,0,1.0,F,Risk of Recidivism,13,787,0
Male,28,Caucasian,0,c1,0,0,1,3.0,F,Risk of Recidivism,0,1050,0
Male,30,African-American,0,c9,0,2,11,1.0,M,Risk of Recidivism,0,119,1
Male,28,Caucasian,0,c5,0,0,1,0.0,F,Risk of Recidivism,6,917,0
Male,22,African-American,0,c4,0,0,0,1.0,F,Risk of Recidivism,0,1134,0
Male,30,African-American,0,c2,0,0,4,0.0,F,Risk of Recidivism,0,1123,0
Male,25,Hispanic,0,c4,0,0,4,0.0,F,Risk of Recidivism,1,880,0
Male,32,African-American,0,c9,1,0,14,1.0,F,Risk of Recidivism,0,836,0
Male,26,African-American,0,c8,1,0,4,1562.0,M,Risk of Recidivism,0,649,0
Male,53,Caucasian,0,c1,0,0,1,1.0,M,Risk of Recidivism,0,1171,0
Male,25,African-American,0,c3,0,0,0,1.0,F,Risk of Recidivism,0,938,0
Female,37,Other,0,c1,0,0,0,2.0,M,Risk of Recidivism,0,844,0
Female,40,Other,0,c2,0,0,3,1.0,F,Risk of Recidivism,0,891,0
Male,36,Caucasian,0,c7,0,0,8,0.0,F,Risk of Recidivism,0,150,1
Male,30,Caucasian,0,c2,0,0,4,140.0,F,Risk of Recidivism,0,779,0
Male,22,African-American,0,c9,0,0,3,208.0,M,Risk of Recidivism,0,33,1
Female,24,Caucasian,0,c7,0,0,1,32.0,M,Risk of Recidivism,0,394,1
Female,31,Hispanic,0,c2,0,0,0,1.0,M,Risk of Recidivism,0,1119,0
Male,24,Hispanic,0,c8,0,0,0,3.0,M,Risk of Recidivism,0,1152,0
Male,29,African-American,0,c3,0,0,1,1.0,M,Risk of Recidivism,0,731,0
Male,20,African-American,0,c8,0,0,1,1.0,F,Risk of Recidivism,0,104,1
Male,39,Other,0,c1,0,0,0,1.0,F,Risk of Recidivism,0,204,0
Male,27,African-American,0,c4,0,0,4,1.0,F,Risk of Recidivism,0,700,0
Male,31,Caucasian,0,c4,0,0,2,1016.0,M,Risk of Recidivism,0,812,1
Female,37,African-American,0,c1,0,0,2,0.0,F,Risk of Recidivism,1,294,0
Male,20,African-American,0,c8,0,0,0,1.0,F,Risk of Recidivism,2,772,0
Male,22,Hispanic,0,c7,0,1,0,0.0,F,Risk of Recidivism,2,66,0
Female,52,African-American,0,c1,0,0,0,1.0,F,Risk of Recidivism,0,973,0
Female,48,African-American,0,c2,0,0,0,1.0,F,Risk of Recidivism,1,870,0
Male,25,Caucasian,0,c5,0,0,0,1.0,F,Risk of Recidivism,0,355,0
Male,27,Caucasian,0,c6,0,0,0,1.0,F,Risk of Recidivism,1,220,1
Female,22,Caucasian,0,c3,0,0,1,1.0,F,Risk of Recidivism,0,822,0
Male,35,African-American,0,c10,0,0,2,1.0,F,Risk of Recidivism,0,798,0
Male,32,Caucasian,0,c4,0,0,2,232.0,F,Risk of Recidivism,0,938,0
Female,41,African-American,0,c3,0,0,2,1.0,M,Risk of Recidivism,0,970,0
Female,25,Other,0,c2,0,0,0,1.0,F,Risk of Recidivism,0,793,0
Male,44,African-American,0,c7,0,0,24,31.0,M,Risk of Recidivism,0,53,0
Male,43,African-American,0,c1,0,0,0,1.0,F,Risk of Recidivism,40,1092,0
Male,37,Caucasian,0,c1,0,0,3,4.0,F,Risk of Recidivism,0,758,0
Male,28,African-American,0,c4,0,0,3,100.0,M,Risk of Recidivism,0,299,1
Male,70,Caucasian,0,c1,0,0,1,13.0,M,Risk of Recidivism,0,1079,0
Male,46,Caucasian,0,c4,0,0,3,1.0,F,Risk of Recidivism,13,1066,0
Male,26,African-American,0,c8,0,0,1,1.0,M,Risk of Recidivism,1,415,1
Male,34,Caucasian,0,c4,0,0,5,1.0,M,Risk of Recidivism,0,802,0
Male,34,African-American,0,c4,0,0,5,1.0,M,Risk of Recidivism,0,849,0
Male,30,African-American,0,c1,0,0,2,83.0,F,Risk of Recidivism,0,889,0
Male,24,Other,0,c3,0,0,0,1.0,F,Risk of Recidivism,0,1088,0
Male,33,Caucasian,0,c3,0,0,1,93.0,M,Risk of Recidivism,0,412,1
Male,58,Caucasian,0,c3,0,0,2,1.0,F,Risk of Recidivism,1,1133,0
Female,21,African-American,0,c6,0,0,0,0.0,M,Risk of Recidivism,1,1186,0
Male,21,African-American,0,c5,0,0,1,36.0,F,Risk of Recidivism,0,955,1
Male,62,Caucasian,0,c1,0,0,0,0.0,F,Risk of Recidivism,2,444,0
Male,37,Caucasian,0,c3,0,0,5,1.0,F,Risk of Recidivism,10,851,0
Female,32,African-American,0,c1,0,0,5,2.0,F,Risk of Recidivism,0,852,0
Male,23,Hispanic,0,c3,0,0,0,1.0,F,Risk of Recidivism,45,463,0
Male,27,African-American,0,c1,0,0,0,1.0,M,Risk of Recidivism,1,1089,0
Female,42,Caucasian,0,c2,0,0,0,3.0,F,Risk of Recidivism,0,57,0
Male,24,Other,0,c10,1,0,9,1.0,F,Risk of Recidivism,4,80,1
Male,27,African-American,0,c2,0,0,0,0.0,F,Risk of Recidivism,17,808,0
Female,51,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,1,741,0
Male,56,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,1,842,0
Male,29,African-American,0,c9,0,0,7,1.0,F,Risk of Recidivism,0,1072,0
Male,53,Caucasian,0,c1,0,0,6,176.0,F,Risk of Recidivism,0,911,0
Male,27,Caucasian,0,c5,0,0,8,1.0,F,Risk of Recidivism,67,370,0
Male,24,African-American,0,c9,1,0,2,1.0,F,Risk of Recidivism,18,69,1
Male,28,Caucasian,0,c3,0,0,2,1.0,M,Risk of Recidivism,1,107,1
Male,45,African-American,0,c1,0,0,1,1.0,F,Risk of Recidivism,0,1115,0
Male,21,Hispanic,0,c5,1,0,3,22.0,F,Risk of Recidivism,0,501,0
Female,36,African-American,0,c7,0,0,0,1.0,F,Risk of Recidivism,11,1061,0
Female,23,Hispanic,0,c3,0,0,1,1.0,M,Risk of Recidivism,0,824,1
Male,28,Caucasian,0,c5,0,0,1,4.0,F,Risk of Recidivism,0,135,0
Male,36,Caucasian,0,c3,0,0,0,1.0,M,Risk of Recidivism,0,830,0
Male,24,African-American,0,c3,0,0,0,1.0,F,Risk of Recidivism,0,750,0
Male,29,African-American,0,c1,0,0,0,1.0,F,Risk of Recidivism,0,761,0
Female,30,Caucasian,0,c6,0,0,0,1.0,M,Risk of Recidivism,4,1106,0
Male,51,Hispanic,0,c1,0,0,1,2.0,M,Risk of Recidivism,0,826,0
Male,33,Other,0,c1,0,0,3,94.0,F,Risk of Recidivism,0,848,0
Female,25,African-American,0,c6,0,0,2,86.0,F,Risk of Recidivism,0,538,0
Male,32,African-American,0,c9,1,0,12,1.0,F,Risk of Recidivism,1,361,1
Male,23,African-American,0,c6,0,1,1,1.0,F,Risk of Recidivism,1,791,0
Male,47,African-American,0,c3,0,0,3,0.0,F,Risk of Recidivism,0,96,0
Male,37,Caucasian,0,c1,0,0,0,0.0,F,Risk of Recidivism,18,412,0
Male,27,Hispanic,0,c8,0,0,0,1.0,M,Risk of Recidivism,1,790,0
Male,39,Other,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,856,0
Female,21,Caucasian,0,c6,0,2,0,0.0,F,Risk of Recidivism,0,1135,0
Male,69,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,1156,0
Male,21,Caucasian,0,c6,0,0,2,1.0,F,Risk of Recidivism,1,577,0
Male,22,Caucasian,0,c4,0,0,0,3.0,F,Risk of Recidivism,0,844,0
Male,49,African-American,0,c5,0,0,3,1.0,F,Risk of Recidivism,4,689,0
Male,29,African-American,0,c4,0,1,2,1.0,M,Risk of Recidivism,50,786,1
Female,60,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,900,0
Male,34,Hispanic,0,c5,0,0,2,271.0,M,Risk of Recidivism,0,47,1
Female,20,Other,1,c4,0,0,1,21.0,F,Risk of Recidivism,0,596,0
Male,36,Hispanic,0,c3,0,0,1,1.0,F,Risk of Recidivism,95,160,0
Male,30,Caucasian,0,c4,0,0,0,1.0,F,Risk of Recidivism,2,1063,0
Male,21,African-American,0,c3,1,0,1,2.0,F,Risk of Recidivism,0,947,1
Male,57,African-American,0,c8,0,0,18,1834.0,F,Risk of Recidivism,0,1059,0
Male,34,Caucasian,0,c1,0,0,1,0.0,M,Risk of Recidivism,0,787,0
Female,53,Caucasian,0,c1,0,0,1,1.0,M,Risk of Recidivism,0,831,0
Female,24,African-American,0,c4,0,0,0,1.0,F,Risk of Recidivism,0,839,0
Male,42,African-American,0,c1,0,0,1,13.0,F,Risk of Recidivism,0,1024,0
Male,28,African-American,0,c3,0,0,1,1.0,M,Risk of Recidivism,1,1094,0
Male,24,Caucasian,0,c4,0,0,1,37.0,M,Risk of Recidivism,0,763,0
Male,22,African-American,0,c9,0,0,4,1.0,F,Risk of Recidivism,574,714,1
Male,21,Caucasian,0,c7,0,0,3,8.0,M,Risk of Recidivism,0,963,0
Male,35,African-American,0,c5,0,0,2,1.0,F,Risk of Recidivism,4,1051,0
Male,53,African-American,0,c1,0,0,2,1.0,F,Risk of Recidivism,0,968,0
Male,60,African-American,0,c1,0,0,1,1183.0,F,Risk of Recidivism,0,780,0
Male,29,African-American,0,c4,0,0,7,1.0,F,Risk of Recidivism,0,773,0
Male,48,Caucasian,1,c8,0,0,23,1.0,F,Risk of Recidivism,640,687,1
Female,52,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,1103,0
Male,28,African-American,0,c9,0,0,5,0.0,F,Risk of Recidivism,51,951,1
Male,33,Caucasian,0,c3,0,0,3,1.0,M,Risk of Recidivism,0,831,0
Female,28,Hispanic,0,c2,0,0,0,1.0,F,Risk of Recidivism,1,1092,0
Male,29,African-American,1,c5,0,0,2,1.0,F,Risk of Recidivism,1,1092,0
Male,26,African-American,0,c7,0,2,6,35.0,F,Risk of Recidivism,0,272,0
Male,25,Caucasian,0,c2,0,0,0,1.0,F,Risk of Recidivism,0,1101,0
Male,68,Caucasian,0,c1,0,0,2,150.0,F,Risk of Recidivism,0,906,0
Male,56,African-American,0,c3,0,0,5,1.0,F,Risk of Recidivism,11,158,0
Male,27,African-American,0,c8,0,0,9,1.0,F,Risk of Recidivism,51,55,0
Male,32,African-American,0,c2,0,0,3,1.0,F,Risk of Recidivism,1,494,0
Male,60,Other,0,c1,0,0,4,1.0,F,Risk of Recidivism,0,408,0
Male,23,Hispanic,0,c3,0,0,1,5.0,M,Risk of Recidivism,0,1068,0
Female,39,Caucasian,0,c6,0,0,0,2.0,M,Risk of Recidivism,0,1016,0
Male,56,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,895,0
Female,22,African-American,0,c7,0,0,0,1.0,F,Risk of Recidivism,0,951,0
Male,53,African-American,0,c6,0,0,11,1.0,F,Risk of Recidivism,109,1078,0
Male,21,Hispanic,0,c3,0,0,0,0.0,M,Risk of Recidivism,0,886,0
Male,22,Caucasian,0,c3,0,0,0,1.0,F,Risk of Recidivism,1,782,0
Female,58,Caucasian,0,c1,0,0,2,23.0,M,Risk of Recidivism,0,183,0
Male,42,Other,0,c1,0,0,1,1.0,F,Risk of Recidivism,1,929,0
Male,29,Caucasian,0,c6,0,0,0,0.0,M,Risk of Recidivism,5,391,1
Male,29,African-American,0,c10,0,0,8,614.0,F,Risk of Recidivism,0,178,0
Male,22,African-American,0,c7,0,0,3,1.0,F,Risk of Recidivism,105,420,0
Male,37,Caucasian,0,c4,0,0,0,0.0,F,Risk of Recidivism,0,1169,0
Male,27,Caucasian,0,c1,0,0,3,22.0,M,Risk of Recidivism,0,956,0
Male,26,African-American,0,c4,0,0,3,0.0,F,Risk of Recidivism,33,88,0
Male,33,Caucasian,0,c1,0,0,0,1.0,F,Risk of Recidivism,0,844,0
Male,29,African-American,0,c6,0,0,2,1.0,F,Risk of Recidivism,0,1180,0
Male,36,Caucasian,0,c1,0,0,2,1.0,M,Risk of Recidivism,0,899,0
Female,24,Caucasian,0,c5,0,0,0,1.0,F,Risk of Recidivism,0,1071,0
Male,34,Caucasian,0,c1,0,0,0,0.0,M,Risk of Recidivism,0,1054,0
Male,25,Hispanic,0,c5,0,0,2,1.0,F,Risk of Recidivism,0,87,1
Male,28,Hispanic,0,c5,0,0,2,263.0,M,Risk of Recidivism,0,445,1
Male,24,African-American,0,c2,0,0,1,1.0,M,Risk of Recidivism,1,267,1
Male,61,Caucasian,0,c1,0,0,4,1.0,F,Risk of Recidivism,1,1165,0
Female,50,African-American,0,c2,0,0,3,1.0,F,Risk of Recidivism,0,758,0
Male,30,African-American,0,c1,0,0,1,1.0,M,Risk of Recidivism,4,1109,0
Male,38,African-American,0,c3,0,0,5,1.0,F,Risk of Recidivism,0,853,0
Male,24,Caucasian,0,c1,0,0,0,1.0,M,Risk of Recidivism,0,840,0
Male,45,African-American,0,c2,0,0,16,77.0,F,Risk of Recidivism,0,912,0
Male,20,Other,0,c8,0,1,0,1.0,F,Risk of Recidivism,21,141,1
Male,27,African-American,0,c8,0,0,13,1.0,M,Risk of Recidivism,0,719,1
Female,51,African-American,0,c8,0,0,16,122.0,F,Risk of Recidivism,0,968,0
Male,28,Caucasian,0,c4,0,0,1,1.0,F,Risk of Recidivism,4,157,1
Male,26,African-American,1,c9,1,0,10,1.0,F,Risk of Recidivism,0,462,0
Male,28,African-American,0,c10,0,0,5,1.0,F,Risk of Recidivism,0,933,0
Male,63,Caucasian,0,c1,0,0,2,3.0,F,Risk of Recidivism,0,195,0
Male,42,African-American,0,c1,0,0,0,0.0,F,Risk of Recidivism,1,1080,0
Male,23,African-American,1,c6,2,2,6,1.0,F,Risk of Recidivism,0,166,0
Male,54,African-American,0,c1,0,0,2,26.0,M,Risk of Recidivism,0,806,0
Male,35,African-American,0,c2,0,0,1,1.0,M,Risk of Recidivism,0,753,0
Male,20,African-American,0,c10,0,0,1,0.0,F,Risk of Recidivism,2,80,0
Male,51,Caucasian,0,c1,0,0,0,0.0,F,Risk of Recidivism,35,1152,0
Male,24,Hispanic,0,c10,0,0,0,1.0,F,Risk of Recidivism,1,1070,0
Male,37,Caucasian,0,c2,0,0,3,14.0,F,Risk of Recidivism,0,1037,0
Male,47,Caucasian,0,c1,0,0,3,1.0,F,Risk of Recidivism,0,765,0
Male,56,Caucasian,0,c1,0,0,0,2.0,F,Risk of Recidivism,0,941,0
Male,35,Asian,0,c6,0,0,0,1.0,F,Risk of Recidivism,100,1051,0
Male,58,Hispanic,0,c1,0,0,1,11.0,F,Risk of Recidivism,0,1149,0
Male,29,Hispanic,0,c4,0,0,2,26.0,M,Risk of Recidivism,0,1150,0
Female,24,Caucasian,0,c9,0,1,6,1.0,F,Risk of Recidivism,3,654,1
Male,21,Caucasian,0,c9,0,4,2,1.0,M,Risk of Recidivism,8,37,1
Male,26,African-American,0,c9,0,0,2,16.0,M,Risk of Recidivism,0,1087,0
Male,26,African-American,0,c2,0,0,1,1.0,F,Risk of Recidivism,0,1143,0
Female,30,Caucasian,0,c2,0,0,0,1.0,M,Risk of Recidivism,0,938,0
